Driver ID,Date,Trip ID,Initial time,Final time,Cost,Tip
114958,16/02/2026,demo-001,05:32,17:00,1520.00,80
114958,17/02/2026,demo-002,05:30,17:30,1680.00,120
114958,18/02/2026,demo-003,05:45,17:00,1450.00,0
114958,19/02/2026,demo-004,05:30,17:30,1590.00,60
114958,20/02/2026,demo-005,05:00,17:45,1720.00,90
114958,21/02/2026,demo-006,06:00,17:00,1540.00,0
114959,16/02/2026,demo-007,05:30,16:30,1650.00,0
114959,17/02/2026,demo-008,05:30,16:00,1580.00,40
114959,18/02/2026,demo-009,05:30,16:00,1720.00,0
114959,19/02/2026,demo-010,05:30,15:30,1550.00,0
114960,16/02/2026,demo-011,19:00,04:00,1520.00,0
114960,17/02/2026,demo-012,19:00,04:30,1480.00,0
114960,18/02/2026,demo-013,19:00,04:00,1450.00,0
114961,16/02/2026,demo-014,05:30,17:30,1680.00,0
114961,17/02/2026,demo-015,05:15,17:15,1750.00,100
114961,18/02/2026,demo-016,05:45,17:00,1590.00,0
114961,19/02/2026,demo-017,05:30,17:30,1820.00,80
114961,20/02/2026,demo-018,05:00,17:00,1700.00,0
114962,16/02/2026,demo-019,19:00,05:30,1620.00,0
114962,17/02/2026,demo-020,19:00,05:00,1540.00,60
114962,18/02/2026,demo-021,19:00,05:30,1580.00,0
114962,19/02/2026,demo-022,19:00,05:00,1510.00,0
114963,16/02/2026,demo-023,05:30,17:00,1750.00,0
114963,17/02/2026,demo-024,05:15,16:15,1680.00,80
114963,18/02/2026,demo-025,05:30,15:30,1620.00,0
114963,19/02/2026,demo-026,05:30,16:00,1850.00,0
114964,16/02/2026,demo-027,05:30,16:30,1550.00,0
114964,17/02/2026,demo-028,05:30,17:00,1680.00,90
114964,18/02/2026,demo-029,05:30,16:30,1720.00,0
114964,19/02/2026,demo-030,05:30,17:00,1490.00,0
114964,20/02/2026,demo-031,05:00,17:45,1600.00,60
114965,16/02/2026,demo-032,19:00,05:30,1580.00,0
114965,17/02/2026,demo-033,19:00,05:00,1520.00,0
114965,18/02/2026,demo-034,19:00,05:30,1640.00,0
114965,19/02/2026,demo-035,19:00,05:00,1480.00,0
114966,16/02/2026,demo-036,06:00,15:00,1950.00,0
114966,17/02/2026,demo-037,06:00,15:30,1850.00,0
114967,16/02/2026,demo-038,06:00,16:00,1520.00,0
114967,17/02/2026,demo-039,06:00,16:00,1480.00,0
114967,18/02/2026,demo-040,06:00,16:00,1510.00,0
114967,19/02/2026,demo-041,06:00,16:00,1440.00,0
114969,16/02/2026,demo-042,05:30,16:00,1520.00,0
114969,17/02/2026,demo-043,05:15,16:15,1480.00,30
114969,18/02/2026,demo-044,05:45,15:45,1540.00,0
114969,19/02/2026,demo-045,05:30,16:00,1460.00,0
114970,16/02/2026,demo-046,05:30,17:00,1850.00,0
114970,17/02/2026,demo-047,05:30,16:30,1920.00,100
114970,18/02/2026,demo-048,05:30,16:30,1780.00,0
114970,19/02/2026,demo-049,05:30,16:30,1650.00,0
114971,16/02/2026,demo-050,19:00,05:30,1680.00,0
114971,17/02/2026,demo-051,19:00,05:30,1620.00,0
114971,18/02/2026,demo-052,19:00,05:00,1600.00,0
114971,19/02/2026,demo-053,19:00,05:00,1600.00,0
114972,16/02/2026,demo-054,05:30,16:00,1520.00,0
114972,17/02/2026,demo-055,05:30,16:30,1479.50,50
114972,18/02/2026,demo-056,06:00,16:00,1540.00,0
114972,19/02/2026,demo-057,05:30,15:00,1460.00,0
114973,16/02/2026,demo-058,19:00,03:00,1680.00,0
114973,17/02/2026,demo-059,19:00,03:00,1520.00,0
114974,18/02/2026,demo-060,05:30,14:30,1450.00,0
114974,19/02/2026,demo-061,05:30,14:00,1380.00,0
114974,20/02/2026,demo-062,05:15,13:15,1370.00,40
114975,16/02/2026,demo-063,19:00,07:00,1920.00,150
114975,17/02/2026,demo-064,19:00,07:00,1850.00,0
114975,18/02/2026,demo-065,19:00,07:00,1780.00,80
114975,19/02/2026,demo-066,19:00,07:00,1690.00,0
114975,20/02/2026,demo-067,19:00,07:00,1930.00,100
114975,21/02/2026,demo-068,19:00,07:00,1580.00,0
114976,16/02/2026,demo-069,05:30,16:00,1580.00,0
114976,17/02/2026,demo-070,06:00,16:00,1520.00,0
114976,18/02/2026,demo-071,05:30,16:00,1600.00,0
114976,19/02/2026,demo-072,06:00,16:00,1500.00,0
114977,16/02/2026,demo-073,19:00,05:00,1680.00,0
114977,17/02/2026,demo-074,23:50,00:35,185.00,0
114977,18/02/2026,demo-075,19:00,05:00,1720.00,0
114977,19/02/2026,demo-076,19:00,04:30,1590.00,0
114977,20/02/2026,demo-077,19:00,04:30,1650.00,0
114978,16/02/2026,demo-078,05:30,16:00,1800.00,0
114978,17/02/2026,demo-079,05:30,16:30,1850.00,0
114978,18/02/2026,demo-080,06:00,16:00,1750.00,0
114978,19/02/2026,demo-081,05:30,16:00,1700.00,0
114979,16/02/2026,demo-082,19:00,03:00,1350.00,0
114979,17/02/2026,demo-083,19:00,03:30,1300.00,0
114979,18/02/2026,demo-084,19:00,03:00,1350.00,0
114979,19/02/2026,demo-085,19:00,03:00,1200.00,0
114980,16/02/2026,demo-086,05:30,16:00,1650.00,0
114980,17/02/2026,demo-087,05:30,16:00,1600.00,0
114980,18/02/2026,demo-088,06:00,16:00,1620.00,0
114980,19/02/2026,demo-089,05:30,15:30,1630.00,0
114981,16/02/2026,demo-090,19:00,06:00,1720.00,0
114981,17/02/2026,demo-091,19:00,05:30,1850.00,0
114981,18/02/2026,demo-092,19:00,06:00,1900.00,0
114981,19/02/2026,demo-093,19:00,05:30,1930.00,0
114982,16/02/2026,demo-094,05:30,17:00,1620.00,0
114982,17/02/2026,demo-095,05:30,17:30,1780.00,0
114982,18/02/2026,demo-096,05:30,16:30,1940.00,0
114982,19/02/2026,demo-097,05:30,16:00,1810.00,0
114982,20/02/2026,demo-098,05:30,16:00,1650.00,0
114983,16/02/2026,demo-099,19:00,05:30,1380.00,75
114983,17/02/2026,demo-100,19:00,05:00,1420.00,60
114983,18/02/2026,demo-101,19:00,05:30,1350.00,80
114983,19/02/2026,demo-102,19:00,05:00,1450.00,0
114984,16/02/2026,demo-103,05:30,16:30,1750.00,0
114984,17/02/2026,demo-104,05:30,16:00,1720.00,0
114984,18/02/2026,demo-105,06:00,16:00,1680.00,0
114984,19/02/2026,demo-106,05:30,16:00,1750.00,0
114985,16/02/2026,demo-107,19:00,05:30,1650.00,0
114985,17/02/2026,demo-108,19:00,05:00,1580.00,0
114985,18/02/2026,demo-109,19:00,05:30,1620.00,0
114985,19/02/2026,demo-110,19:00,05:00,1550.00,0
114986,16/02/2026,demo-111,06:00,15:30,1250.00,0
114986,17/02/2026,demo-112,06:00,15:00,1200.00,0
114986,18/02/2026,demo-113,06:00,15:30,1250.00,0
114986,19/02/2026,demo-114,06:00,15:00,1100.00,0
114987,16/02/2026,demo-115,19:00,04:00,1450.00,0
114987,17/02/2026,demo-116,19:00,04:30,1350.00,0
114987,18/02/2026,demo-117,19:00,04:00,1200.00,0
114987,19/02/2026,demo-118,19:00,04:00,1150.00,0
